Date,num_stays,TotalAirlineTripstoDC,TotalAirlinePassengerstoDC,TotalAmericanTravelers,PercentofAmericanswhoTraveled,TotalTripsbyAmericans,income_total
2009-05-01,2,,,,,,
2009-06-01,2,,,,,,
2009-08-01,1,,,,,,
2009-09-01,1,,,,,,
2009-10-01,2,,,,,,
2009-11-01,2,,,,,,
2009-12-01,1,,,,,,
2010-01-01,3,,,,,,
2010-02-01,2,,,,,,
2010-03-01,9,,,,,,
2010-04-01,18,,,,,,
2010-05-01,10,,,,,,
2010-06-01,13,,,,,,
2010-07-01,19,,,,,,
2010-08-01,13,,,,,,
2010-09-01,16,,,,,,
2010-10-01,18,,,,,,
2010-11-01,11,,,,,,
2010-12-01,9,,,,,,
2011-01-01,9,,,,,,
2011-02-01,11,,,,,,
2011-03-01,20,,,,,,
2011-04-01,23,,,,,,
2011-05-01,37,,,,,,
2011-06-01,35,,,,,,
2011-07-01,24,,,,,,
2011-08-01,30,,,,,,
2011-09-01,45,,,,,,
2011-10-01,61,,,,,,
2011-11-01,48,,,,,,
2011-12-01,24,,,,,,
2012-01-01,25,,,,,,
2012-02-01,17,,,,,,
2012-03-01,63,,,,,,
2012-04-01,74,,,,,,
2012-05-01,80,,,,,,
2012-06-01,73,,,,,,
2012-07-01,59,,,,,,
2012-08-01,73,,,,,,
2012-09-01,77,,,,,,
2012-10-01,82,,,,,,
2012-11-01,46,,,,,,
2012-12-01,39,,,,,,
2013-01-01,69,,,,,,
2013-02-01,42,,,,,,12224.9
2013-03-01,100,,,,,,12262.1
2013-04-01,127,,,,,,12299.0
2013-05-01,127,,,,,,12358.6
2013-06-01,133,,,,,,12361.7
2013-07-01,106,,,,,,12350.6
2013-08-01,102,,,,,,12379.6
2013-09-01,138,,,,,,12431.5
2013-10-01,165,,,,,,12395.1
2013-11-01,119,,,,,,12426.2
2013-12-01,81,,,,,,12452.7
2014-01-01,79,,,,,,12513.3
2014-02-01,91,,,,,,12579.5
2014-03-01,204,,,,,,12648.6
2014-04-01,269,,,,,,12699.0
2014-05-01,282,,,,,,12745.0
2014-06-01,259,,,,,,12797.2
2014-07-01,264,,,,,,12835.1
2014-08-01,312,,,,,,12896.3
2014-09-01,305,,,,,,12938.8
2014-10-01,359,,,,,,12995.3
2014-11-01,344,,,,,,13062.8
2014-12-01,204,,,,,,13150.5
2015-01-01,230,,,,,,13224.7
2015-02-01,228,,,,,,13271.8
2015-03-01,454,,,,,,13233.7
2015-04-01,583,,,,,,13262.8
2015-05-01,676,,,,,,13284.7
2015-06-01,560,,,,,,13292.7
2015-07-01,633,,,,,,13324.1
2015-08-01,618,,,,,,13354.9
2015-09-01,667,,,,,,13392.0
2015-10-01,893,,,,,,13419.8
2015-11-01,561,,,,,,13417.7
2015-12-01,455,,,,,,13482.0
2016-01-01,499,,,,,,13531.6
2016-02-01,550,,,,,,13546.1
2016-03-01,1042,,,,,,13547.2
2016-04-01,1361,,,,,,13522.0
2016-05-01,1460,,,,,,13515.1
2016-06-01,1255,,,,,,13521.5
2016-07-01,1241,,,,,,13567.1
2016-08-01,1200,,,,,,13578.9
2016-09-01,1558,,,,,,13608.3
2016-10-01,1962,,,,,,13627.7
2016-11-01,1441,,,,,,13657.8
2016-12-01,1150,,,,,,13685.3
2017-01-01,1542,,,,,,13747.2
2017-02-01,1152,,,,,,13783.4
2017-03-01,2456,,,,,,13840.4
2017-04-01,2855,,,,,,13864.5
2017-05-01,2808,,,,,,13957.3
2017-06-01,2429,,,,,,13959.9
2017-07-01,2560,,,,,,13995.9
2017-08-01,2239,,,,,,14003.4
2017-09-01,2507,,,,,,14021.4
2017-10-01,3231,,,,,,14049.5
2017-11-01,2220,,,,,,14060.5
2017-12-01,1764,,,,,,14081.0
2018-01-01,1915,,,,,,14173.9
2018-02-01,1837,,,,,,14198.4
2018-03-01,3588,,,,,,14242.1
2018-04-01,4271,,,,,,14275.9
2018-05-01,4094,,,,,,14320.7
2018-06-01,3956,,,,,,14374.9
2018-07-01,3572,,,,,,14440.0
2018-08-01,3312,,,,,,14495.0
2018-09-01,3605,,,,,,14495.6
2018-10-01,4470,,,,,,14542.2
2018-11-01,3347,,,,,,14588.7
2018-12-01,3001,,,,,,14773.3
2019-01-01,2899,435.0,1326271.0,265224073.85258028,81.44242073648299,1137041852.3226352,14791.2
2019-02-01,2639,385.0,1261292.0,266240835.73305443,81.77432628778035,1148666757.7153966,14835.3
2019-03-01,5226,422.0,1668002.0,265091945.14415318,81.79908504520232,1306564567.8397522,14843.9
2019-04-01,5608,427.0,1681832.0,264062598.41495603,81.35434739932987,1446882218.0239325,14811.8
2019-05-01,6110,439.0,1766148.0,266133995.63478008,81.884669739372,1415056833.4654295,14814.7
2019-06-01,5457,437.0,1714927.0,265218592.7387903,81.553510417355,1420058469.023267,14841.3
2019-07-01,4820,390.0,1724335.0,264688908.07948282,80.59502409578185,1431367214.9290993,14871.8
2019-08-01,4382,412.0,1697740.0,268105887.391001,81.6779917357172,1455276895.4477744,14960.3
2019-09-01,5288,413.0,1546962.0,265136148.47835246,81.27587229463064,1476232339.2035372,15000.7
2019-10-01,6049,463.0,1708967.0,263410022.5404506,80.29635946018341,1379214450.5616155,15022.4
2019-11-01,4589,439.0,1570090.0,262969381.41601762,80.41204109887354,1306835189.4086835,15084.2
2019-12-01,3860,474.0,1582968.0,261733285.9355721,79.91173049579348,1291912277.7793055,15018.1
2020-01-01,3719,,,,,,15149.7
2020-02-01,3696,,,,,,15232.8
2020-03-01,3060,,,,,,15008.5
2020-04-01,458,,,,,,17246.2
2020-05-01,727,,,,,,16423.4
2020-06-01,1368,,,,,,16272.5
2020-07-01,2224,,,,,,16372.2
2020-08-01,2803,,,,,,15739.2
2020-09-01,2318,,,,,,15799.7
2020-10-01,2687,,,,,,15729.1
2020-11-01,2658,,,,,,15522.5
2020-12-01,2114,,,,,,15536.5
2021-01-01,2135,294.0,377745.0,242583552.4345307,78.10057845237601,988231913.1280193,17099.2
2021-02-01,1902,249.0,336865.0,249245056.4054722,79.52989418142919,1130584267.8048651,15662.7
2021-03-01,2991,313.0,574976.0,258365931.7068227,82.549864993949,1267733015.5654144,19213.9
2021-04-01,3891,373.0,801552.0,261944120.35526362,83.04844480232245,1280752816.8839676,16264.7
2021-05-01,4484,381.0,968158.0,262896122.80798757,82.85430739985827,1143835901.579335,15790.4
2021-06-01,4604,414.0,1114375.0,263120978.7637902,82.99662340982252,1140707358.4017954,15708.6
2021-07-01,5527,387.0,1324860.0,260008872.7169676,82.01324841528866,1231843287.4258769,15821.9
2021-08-01,6244,401.0,1397805.0,260341643.64752692,81.85182853450398,1174911949.3650708,15802.4
2021-09-01,5304,446.0,1171253.0,261325533.66819766,81.973843333869,1135522619.0424907,15580.2
2021-10-01,6618,487.0,1354033.0,260228720.54146254,81.60153665592657,1218701454.978695,15584.9
2021-11-01,5586,472.0,1444907.0,259623354.35032678,81.46383145698559,1301881942.832323,15543.5
2021-12-01,5147,485.0,1395610.0,259475706.3086021,82.1106855466219,1298152014.040723,15483.6
2022-01-01,4356,904.0,1893198.0,259584735.82010934,82.00471558566778,1243775232.8225882,15137.7
2022-02-01,4413,830.0,2139952.0,260109791.61199838,82.15668408700547,1210049335.9942613,15125.6
2022-03-01,7754,896.0,3059442.0,262116683.06916347,81.89755485680998,1218479734.1890206,15064.1
2022-04-01,9208,858.0,3272280.0,261462761.25324675,81.90694228417173,1279973330.1118326,15055.2
2022-05-01,10146,902.0,3415990.0,261053979.76624453,82.05992072229897,1305916298.96838,15036.4
2022-06-01,8271,938.0,3298350.0,260186906.33989897,81.81918816987921,1236950442.0121212,14973.1
