0,1,2,3,4,5,6,7
2019-01-01,435,1326271.0,791536531.8525803,81.42464086737007,3411167477.161345,2899,14791.2
2019-02-01,385,1261292.0,794586299.0187687,81.75514511420499,3446039943.7153964,2639,14835.3
2019-03-01,422,1668002.0,791140769.53125,81.7730402750601,3919756293.4526553,5226,14843.9
2019-04-01,427,1681832.0,788060775.614956,81.32895739711851,4340727403.623933,5608,14811.8
2019-05-01,439,1766148.0,794267531.6992962,81.86138849687315,4245220637.0138164,6110,14814.7
2019-06-01,437,1714927.0,791522277.205457,81.53045850375048,4260231428.023267,5457,14841.3
2019-07-01,390,1724335.0,789951076.660128,80.58258788730863,4294279542.929099,4820,14871.8
2019-08-01,412,1697740.0,800188412.5522914,81.66852436198,4365935974.221968,4382,14960.3
2019-09-01,413,1546962.0,791292742.4116858,81.25806774383574,4428887284.070204,5288,15000.7
2019-10-01,463,1708967.0,786184815.766257,80.28240301093346,4138353876.6906476,6049,15022.4
2019-11-01,439,1570090.0,784990929.8826842,80.3932523840992,3921617788.2086835,4589,15084.2
2019-12-01,474,1582968.0,781132956.5162172,79.89534134678898,3876241785.3276925,3860,15018.1
2020-01-01,447,1408411.0,782329422.0258064,79.92503311551594,3533625125.22821,3719,15149.7
2020-02-01,449,1369538.0,790817774.1665754,81.15703076487546,3574710756.309706,3696,15232.8
2020-03-01,433,742972.0,747014821.9172752,78.44739045703916,3194617223.0695143,3060,15008.5
2020-04-01,276,51455.0,707243555.4904844,75.36729820743233,2696695268.556923,458,17246.2
2020-05-01,209,129053.0,751039199.437976,79.42117579272788,3123882575.762865,727,16423.4
2020-06-01,182,282000.0,756832887.5633005,80.15794147538406,3083282510.7600436,1368,16272.5
2020-07-01,253,371114.0,737561246.7597741,78.47702667122738,2803956477.582831,2224,16372.2
2020-08-01,285,463756.0,739763048.5577546,78.69744206082028,2813087071.067204,2803,15739.2
2020-09-01,255,406823.0,729554550.4037548,77.64151855483442,2844321775.0566745,2318,15799.7
2020-10-01,230,485552.0,728905060.7151178,77.49685863209203,2773642556.998442,2687,15729.1
2020-11-01,264,435022.0,698932619.9997994,74.96807203645764,2862184172.456708,2658,15522.5
2020-12-01,271,424680.0,698372724.9401416,74.89289504829298,2784049255.3932443,2114,15536.5
2021-01-01,294,377745.0,726569899.3377565,78.044388541501,2954641563.3215675,2135,17099.2
2021-02-01,249,336865.0,745424203.6911864,79.47936697989869,3394393320.5191507,1902,15662.7
2021-03-01,313,574976.0,774693534.2229517,82.49789986288253,3803223189.5654144,2991,19213.9
2021-04-01,373,801552.0,778656399.7552636,82.98711366453021,3964679515.550634,3891,16264.7
2021-05-01,381,968158.0,770120221.517665,82.76872588927229,3753967178.2244964,4484,15790.4
2021-06-01,414,1114375.0,770413271.8304569,82.90944707283141,3750672848.335129,4604,15708.6
2021-07-01,387,1324860.0,771357817.0395483,81.95406827330667,3851611992.9742637,5527,15821.9
2021-08-01,401,1397805.0,768604162.9378495,81.78799856454799,3737917476.526361,6244,15802.4
2021-09-01,446,1171253.0,767468637.2681977,81.90237035844285,3687079577.4424906,5304,15580.2
2021-10-01,487,1354033.0,768745602.4769465,81.54286336132316,3866649606.462566,6618,15584.9
2021-11-01,472,1444907.0,772187761.0169934,81.41902126355457,4027304584.9656563,5586,15543.5
2021-12-01,485,1395610.0,773618808.1795698,82.06188448788464,3984239441.9116907,5147,15483.6
