Date,TotalAirlineTripstoDC,TotalAirlinePassengerstoDC,TotalAmericanTravelers,PercentofAmericanswhoTraveled,TotalTripsbyAmericans,num_stays,income_total
2019-01-01,435,1326271.0,265224073.85258028,81.44242073648299,1137041852.3226352,2899,14791.2
2019-02-01,385,1261292.0,266240835.73305443,81.77432628778035,1148666757.7153966,2639,14835.3
2019-03-01,422,1668002.0,265091945.1441532,81.79908504520232,1306564567.8397522,5226,14843.9
2019-04-01,427,1681832.0,264062598.41495603,81.35434739932987,1446882218.0239325,5608,14811.8
2019-05-01,439,1766148.0,266133995.63478008,81.884669739372,1415056833.4654295,6110,14814.7
2019-06-01,437,1714927.0,265218592.7387903,81.553510417355,1420058469.023267,5457,14841.3
2019-07-01,390,1724335.0,264688908.0794828,80.59502409578185,1431367214.929099,4820,14871.8
2019-08-01,412,1697740.0,268105887.391001,81.6779917357172,1455276895.4477744,4382,14960.3
2019-09-01,413,1546962.0,265136148.4783525,81.27587229463064,1476232339.2035372,5288,15000.7
2019-10-01,463,1708967.0,263410022.5404506,80.29635946018341,1379214450.5616157,6049,15022.4
2019-11-01,439,1570090.0,262969381.4160176,80.41204109887354,1306835189.4086835,4589,15084.2
2019-12-01,474,1582968.0,261733285.9355721,79.91173049579348,1291912277.7793057,3860,15018.1
2021-01-01,294,377745.0,242583552.4345307,78.10057845237601,988231913.1280192,2135,17099.2
2021-02-01,249,336865.0,249245056.4054722,79.52989418142919,1130584267.8048651,1902,15662.7
2021-03-01,313,574976.0,258365931.7068227,82.549864993949,1267733015.5654144,2991,19213.9
2021-04-01,373,801552.0,261944120.3552636,83.04844480232245,1280752816.8839676,3891,16264.7
2021-05-01,381,968158.0,262896122.8079876,82.85430739985827,1143835901.579335,4484,15790.4
2021-06-01,414,1114375.0,263120978.7637902,82.99662340982252,1140707358.4017954,4604,15708.6
2021-07-01,387,1324860.0,260008872.7169676,82.01324841528866,1231843287.4258769,5527,15821.9
2021-08-01,401,1397805.0,260341643.6475269,81.85182853450398,1174911949.3650708,6244,15802.4
2021-09-01,446,1171253.0,261325533.6681977,81.973843333869,1135522619.0424907,5304,15580.2
2021-10-01,487,1354033.0,260228720.5414625,81.60153665592657,1218701454.978695,6618,15584.9
2021-11-01,472,1444907.0,259623354.3503268,81.46383145698559,1301881942.832323,5586,15543.5
2021-12-01,485,1395610.0,259475706.3086021,82.1106855466219,1298152014.040723,5147,15483.6
